"data",".variable","median","lower","upper"
"BBC Total (UK)","phi",0.270598141321672,0.256816020794491,0.284456978153325
"Census (E)","phi",0.26803584822842,0.265813252376538,0.270191220629966
"BBC Total (E)","phi",0.284664979557894,0.270701820659165,0.300319353397956
"Census (S)","phi",0.369065025353643,0.34179503655369,0.399373146494952
"BBC Total (S)","phi",0.599402921785823,0.463072004821346,0.775907012391195
"Census (W)","phi",0.393812845747041,0.351639585524898,0.437783408306059
"BBC Total (W)","phi",1.07608070109645,0.73651121428259,1.62485876950306
"Census (NI)","phi",1.13314922581501,0.888638094086422,1.42255303053207
"BBC Total (NI)","phi",2.08826928696547,0.981398943561507,5.17220512513321
