"data",".variable","median","lower","upper"
"BBC Total (UK)","phi",0.205812150101091,0.194951123173231,0.217640971405333
"BBC Under 18 (UK)","phi",0.273191784156519,0.210633257096303,0.363810401428742
"BBC Education (UK)","phi",0.310934341814761,0.250435773398288,0.388773271434146
"BBC 18-30 (UK)","phi",0.329429859474349,0.295043812127538,0.368451643040566
"BBC Employed (UK)","phi",0.23706823086834,0.223198939498105,0.251899329095347
"BBC 30-60 (UK)","phi",0.253270037258653,0.237490061309169,0.269329556990581
"BBC NEET (UK)","phi",0.327073796829931,0.274166042410434,0.394579397215411
"BBC 60-100 (UK)","phi",0.369690300755649,0.309364254574952,0.452631885783413
